Source;Titre;URL;Prix;Date
Yahoo;美品 STUDIO24 ギース・ハワード (ダメージVer.) THE KING OF COLLECTORS'24 EX 餓狼伝説スペシャル;https://page.auctions.yahoo.co.jp/jp/auction/f1209883729;¥14,300;2026-01-08 13:15 UTC
Mercari;餓狼伝説 SPECIAL ネオジオソフト;https://jp.mercari.com/item/m75857818252;¥5,800;2026-01-09 09:29 UTC
Yahoo;【中古】NG）餓狼伝説スペシャル[240024513898];https://page.auctions.yahoo.co.jp/jp/auction/d1186297771;¥6,908;2026-01-09 11:46 UTC
Yahoo;NEOGEO ネオジオ SNK 餓狼伝説スペシャル ROM ロムカセット　説明書　箱付き　ワンオーナー;https://page.auctions.yahoo.co.jp/jp/auction/l1215085553;¥6,000;2026-01-09 12:49 UTC
Yahoo;動作保証品 NG ネオジオROM 餓狼伝説スペシャル SPECIAL エス・エヌ・ケイ SNK 箱説付【10;https://page.auctions.yahoo.co.jp/jp/auction/g1215373157;¥5,500;2026-01-15 12:11 UTC
Yahoo;中古品 レア SNK NEOGEO 餓狼伝説スペシャル ネオジオ ROMカセット 餓狼伝説 レトロゲーム 現状品 餓狼伝説SPECIAL 箱有 取説無 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/x1214352754;¥5,000;2026-01-15 12:27 UTC
Mercari;餓狼伝説SPECIAL ロムカセット ネオジオ SNK;https://jp.mercari.com/item/m46861997155;¥5,500;2026-01-22 06:20 UTC
Yahoo;動作確認済 NG SNK NEOGEO 餓狼伝説　SPECIAL スペシャル ネオジオ ROMカセット ケース 説明書 あり;https://page.auctions.yahoo.co.jp/jp/auction/h1215118274;¥6,500;2026-01-22 09:43 UTC
Yahoo;【箱付き】餓狼伝説スペシャル ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/e1216532898;¥6,050;2026-01-22 13:49 UTC
Yahoo;NEOGEO FATAL FURY SPECIAL 餓狼伝説スペシャル;https://page.auctions.yahoo.co.jp/jp/auction/x1216036522;¥8,750;2026-01-22 15:15 UTC
Mercari;餓狼伝説SPECIAL NEO GEO ソフト;https://jp.mercari.com/item/m68792164256;¥5,888;2026-01-24 10:05 UTC
Yahoo;1円〜 ネオジオ ロムカセット 餓狼伝説スペシャル;https://page.auctions.yahoo.co.jp/jp/auction/f1217463705;¥5,775;2026-01-29 13:12 UTC
