Source;Version;Titre;URL;Prix;Date
Yahoo;99;※ケースのみ ザ・キング・オブ・ファイターズ99 ネオジオROM ;https://page.auctions.yahoo.co.jp/jp/auction/p1214146575;¥5,500;2026-01-03 11:23 UTC
Yahoo;99;【 送料無料 】 ネオジオCD ザ・キング・オブ・ファイターズ 99 帯付き 011417;https://page.auctions.yahoo.co.jp/jp/auction/v1215917083;¥5,500;2026-01-17 12:48 UTC
Yahoo;99;ザ・キング・オブ・ファイターズ'99 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/p1215553892;¥43,000;2026-01-18 12:51 UTC
Yahoo;99;◇ NEOGEO CD ネオジオCD ソフト THE KING OF FIGHTERS99 ザ キング オブ ファイターズ'99 SNK 昭和レトロ ゲームソフト 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/x1215648880;¥5,500;2026-01-19 13:17 UTC
Yahoo;99;6277 NEOGEO ネオジオ キング オブ ファイターズ ファイターズ99 SNK ROM THE カセット 動作未確認 テレカ未使用;https://page.auctions.yahoo.co.jp/jp/auction/l1216159294;¥37,300;2026-01-22 14:56 UTC
Yahoo;99;中古品 ゲーム ネオジオ SNK ザ・キング・オブ・ファイターズ 99 カセット;https://page.auctions.yahoo.co.jp/jp/auction/j1216683104;¥33,000;2026-01-25 13:19 UTC
Yahoo;99;【帯 ハガキ有】THE KING OF FIGHTERS 99 キング オブ ファイターズ99 NEOGEO CD ネオジオCD SNK;https://page.auctions.yahoo.co.jp/jp/auction/b1213141096;¥8,600;2026-01-30 14:53 UTC
Yahoo;99;SNK NEOGEO ROM ネオジオ ザ キングオブファイターズ 99 ハガキ　説明書　テレカ付;https://page.auctions.yahoo.co.jp/jp/auction/g1217647867;¥38,000;2026-02-06 12:10 UTC
Yahoo;99;【箱付き】【動作品】ザ・キング・オブ・ファイターズ99 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/f1218317350;¥42,350;2026-02-07 14:26 UTC
Yahoo;99;テレカあり●格闘ゲーム【kof99 キングオブファイターズ99】ネオジオROM レトロゲーム　箱　説明書あり　0206;https://page.auctions.yahoo.co.jp/jp/auction/e1218796064;¥41,500;2026-02-07 18:42 UTC
Yahoo;99;#【SNK NEOGEO ザ・キング・オブ・ファイターズ 99 ネオジオ ゲームソフト ロムカセット 元箱 レトロ 動作未確認 ジャンク品】R01240;https://page.auctions.yahoo.co.jp/jp/auction/f1218472385;¥28,050;2026-02-08 14:14 UTC
