Source;Titre;URL;Prix;Date
Yahoo;ネオジオ　リアルバウト餓狼伝説2 rom ロム;https://page.auctions.yahoo.co.jp/jp/auction/n1214782227;¥74,000;2026-01-05 07:19 UTC
Mercari;【帯・ハガキ付】 リアルバウト餓狼伝説２　THE NEWCOMERS;https://jp.mercari.com/item/m74835967536;¥8,000;2026-01-17 10:56 UTC
Yahoo;mY074a [箱説有] NEOGEO ソフト リアルバウト餓狼伝説2 THE NEWCOMERS RB2 / ネオジオ ROM カセット ☆ | ゲーム X;https://page.auctions.yahoo.co.jp/jp/auction/q1215867470;¥62,260;2026-01-18 13:10 UTC
Yahoo;NEOGEO ROM　リアルバウト餓狼伝説２;https://page.auctions.yahoo.co.jp/jp/auction/1216557613;¥100,000;2026-01-19 12:37 UTC
Yahoo;6273 NEOGEO ネオジオ リアルバウト餓狼伝説2 THE ROM ROM SNK the 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/x1216159498;¥69,501;2026-01-23 14:00 UTC
Yahoo;リアルバウト餓狼伝説2 / NEOGEO ネオジオ;https://page.auctions.yahoo.co.jp/jp/auction/e1216524085;¥78,000;2026-01-25 13:08 UTC
Yahoo;中古品 ゲーム ネオジオ カセット SNK RB2 リアルバウト餓狼伝説2 対戦格闘アクション;https://page.auctions.yahoo.co.jp/jp/auction/1216679274;¥77,000;2026-01-25 15:01 UTC
Yahoo;052-Y12) 当時物 SNK リアルバウト 餓狼伝説2 NEO・GEO ネオジオ 動作OK;https://page.auctions.yahoo.co.jp/jp/auction/p1217122047;¥5,501;2026-01-29 13:32 UTC
Yahoo;SNKゲームカートリッジ　リアルバウト餓狼伝説2;https://page.auctions.yahoo.co.jp/jp/auction/u1217769349;¥8,027;2026-02-02 11:49 UTC
Yahoo;【箱付き】【動作品】リアルバウト餓狼伝説2 ザ・ニューカマーズ ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/l1218139753;¥57,201;2026-02-05 13:05 UTC
Yahoo;1円〜 動作品 NG ネオジオROM リアルバウト餓狼伝説2 THE NEWCOMERS REAL BOUT RB2 SNK エスエヌケイ NEOGEO 箱説ハガキ付【10;https://page.auctions.yahoo.co.jp/jp/auction/d1219037937;¥66,110;2026-02-14 12:50 UTC
Yahoo;SNK ネオジオ リアルバウト餓狼伝説2 RB2 対戦格闘アクション ゲームカートリッジ ケース付き 現状品;https://page.auctions.yahoo.co.jp/jp/auction/b1219959608;¥60,000;2026-02-19 14:22 UTC
Yahoo;ネオジオROMカートリッジ　リアルバウト餓狼伝説2 THE NEW COMERS　SNK;https://page.auctions.yahoo.co.jp/jp/auction/b1220677024;¥58,500;2026-02-24 14:58 UTC
Yahoo;●格闘ゲーム【リアルバウト餓狼伝説2】ネオジオROM レトロゲーム　箱　説明書あり　0206テリー　舞;https://page.auctions.yahoo.co.jp/jp/auction/q1218609656;¥88,000;2026-02-25 21:33 UTC
Mercari;RB2 THE NEWCOMERS NEOGEO ソフト リアルバウト餓狼伝説2;https://jp.mercari.com/item/m28049607199;¥50,000;2026-02-26 02:40 UTC
Yahoo;NEOGEO ネオジオROM SNKリアルバウト餓狼伝説2 ;https://page.auctions.yahoo.co.jp/jp/auction/w1221360356;¥77,100;2026-03-08 14:04 UTC
