Source;Titre;URL;Prix;Date
Mercari;値下げ！！ワールドヒーローズ2 対戦格闘ゲーム　SNK ネオジオ;https://jp.mercari.com/item/m70265402048;¥6,500;2026-01-02 11:20 UTC
Yahoo;SNK ワールドヒーローズ 2 ネオジオ　NEO GEO;https://page.auctions.yahoo.co.jp/jp/auction/l1211961690;¥8,500;2026-01-04 13:51 UTC
Yahoo;エーディーケイ ADK ネオジオソフト ワールドヒーローズ2 ALH-006;https://page.auctions.yahoo.co.jp/jp/auction/u1208171106;¥9,515;2026-01-06 12:44 UTC
Yahoo;SNK ネオジオROM ワールドヒーローズ2 ADK WORLD HEROES 2 動作確認済み NEOGEO 箱説付 ROMカセット NG ;https://page.auctions.yahoo.co.jp/jp/auction/1206538111;¥11,500;2026-01-06 13:02 UTC
Yahoo;【中古 現状品】NEOGEO ネオ ジオ　ワールドヒーローズ2 箱取説付属　【動作確認済 】NEO-AEP ALH-006 ソフト　;https://page.auctions.yahoo.co.jp/jp/auction/t1160820799;¥10,000;2026-01-09 12:02 UTC
Yahoo;SNK/ADK ワールドヒーローズ2;https://page.auctions.yahoo.co.jp/jp/auction/p1199797510;¥5,000;2026-01-12 11:10 UTC
Yahoo;z1918 動作未確認 NEOGEO ワールドヒーローズ2 ADK ネオジオ ネオジオROM ゲームソフト;https://page.auctions.yahoo.co.jp/jp/auction/h1215201453;¥5,502;2026-01-15 11:35 UTC
Yahoo;【NG】 ワールドヒーローズ2;https://page.auctions.yahoo.co.jp/jp/auction/z533545310;¥8,500;2026-01-15 15:26 UTC
Yahoo;【箱付き】ワールドヒーローズ2 ネオジオ NEOGEO;https://page.auctions.yahoo.co.jp/jp/auction/f1216532648;¥6,875;2026-01-22 13:59 UTC
Yahoo;6282 NEOGEO ネオジオ ワールドヒーローズ2 WORLD HEROES ネオジオソフト ネオジオROM SNK ADK 動作未確認;https://page.auctions.yahoo.co.jp/jp/auction/p1216159897;¥7,752;2026-01-23 14:08 UTC
Yahoo;【送料無料】NEOGEO ROM　ネオジオロム　ワールドヒーローズ2;https://page.auctions.yahoo.co.jp/jp/auction/n1216804454;¥6,000;2026-01-24 05:06 UTC
