Titre;URL;Prix;Statut;Created;Description
家庭用ネオジオROM　餓狼伝説スペシャル;https://jp.mercari.com/item/m64076905930;¥10,000;SOLD_OUT;2026-05-31 05:30 UTC;餓狼伝説スペシャルの家庭用ROMです。  ケースジャケットに歪みと傷み、ソフトにキズとラベルの退色があります。 画像にてご確認くださいをよろしくお願いします。  説明書は欠品です。 動作確認はできました。  状態コンディションを過度に気になさる方はご購入をご遠慮ください。 よろしくお願いします。  #餓狼伝説 #対戦格闘 #SNK #ネオジオ #NEOGEO
SNK NEOGEO AES 本体 ソフト3本セット;https://jp.mercari.com/item/m18295959484;¥298,000;ON_SALE;2026-05-27 12:11 UTC
【未開封】餓狼伝説SPECIAL テリー・ボガード フィギュア SNK レトロ;https://jp.mercari.com/item/m82357352638;¥2,590;SOLD_OUT;2026-05-31 04:11 UTC;SNK格闘ゲームの名作「餓狼伝説SPECIAL」の主人公、テリー・ボガードのフィギュアです。  当時ゲームセンターやNEOGEOで遊んでいた方には懐かしいアイテム。現在ではなかなか見かけない貴重な未開封品です。  コレクション整理のため出品いたします。  ・未開封・長期保管品・パッケージに経年による多少のスレあり  レトロゲーム、SNK、餓狼伝説ファンの方におすすめです。  即購入歓迎です。
ネオジオソフト　餓狼伝説スペシャル;https://jp.mercari.com/item/m89532926554;¥12,800;SOLD_OUT;2026-05-31 01:56 UTC;ネオジオソフト　餓狼伝説スペシャル 箱付き、説明書付きです。
REALBOUT餓狼伝説スペシャルNCD 【NEOGEO】;https://jp.mercari.com/item/2JRYrABAdfQNySgLUj5EzH;¥1,704;SOLD_OUT;2026-05-22 11:19 UTC;
餓狼伝説バトルアーカイブス2 PS2 NEOGEOオンライン;https://jp.mercari.com/item/m14242008594;¥4,500;SOLD_OUT;2026-05-30 03:40 UTC;『リアルバウト餓狼伝説』『リアルバウト餓狼伝説SPECIAL』『リアルバウト餓狼伝説2』の3タイトルを収録したPlayStation 2用格闘ゲームソフトです。  - 対応機種: PlayStation 2 - シリーズ名: NEOGEOオンラインコレクション - 収録タイトル: リアルバウト餓狼伝説、リアルバウト餓狼伝説SPECIAL、リアルバウト餓狼伝説2 - CEROレーティング: B (12才以上対象) - オンライン対応: 対応  ☆キズ等無く、綺麗な状態です。 ☆自宅暗所にて、専用ボックスに入れ 保管しておりました。  ご了承の上ご購入頂きますよう、何卒 よろしくお願い致します。 
【動作確認済・帯付き】ネオジオCD リアルバウト餓狼伝説スペシャル;https://jp.mercari.com/item/m47755953988;¥2,300;SOLD_OUT;2026-05-30 14:14 UTC;ご覧いただきありがとうございます。  ネオジオCD用ソフト『リアルバウト餓狼伝説スペシャル』です。  【商品内容】 ・ゲームディスク ・ケース ・説明書 ・帯  【商品の状態】 ・動作確認：実機にて起動および初期動作を確認済みです。 ・ディスク：目立つ傷や擦れなし。 ・説明書：一部に凹みや汚れなどの傷みがあります。※画像にてご確認ください ・帯：折れや破れはありませんが細かな擦れが確認出来ます。 ・ケース：通常使用に伴う擦れキズがあります。  【注意事項】 素人検品・長期自宅保管のヴィンテージ品である事、説明書に一部いたみがあるため「やや傷や汚れあり」として出品しております。美品をお求めの方や
【動作確認済】ネオジオCD 餓狼伝説スペシャル 純正ケース;https://jp.mercari.com/item/m50706764455;¥1,700;SOLD_OUT;2026-05-30 14:10 UTC;ご覧いただきありがとうございます。  ネオジオCD用ソフト『餓狼伝説スペシャル（FATAL FURY SPECIAL）』です。 コレクション整理に伴い出品いたします。  【商品の状態】 ・動作：実機にて起動・プレイができることを確認済みです。 ・ディスク：盤面は目立つキズなし。 ・ケース：当時物の純正ケースです（右上ロゴ刻印あり）。通常使用に伴う擦れキズはありますが、割れはありません。 ・説明書：表紙・中身に一部凹み（シワ・ヨレ）が見られます。破れはありませんが、写真にて状態をご確認ください。 ・帯・その他の付属品：なし  【保管環境・匂いについて】※必ずご確認下さい ペットは飼っておりません
【動作確認済】NEO-GEO ロムカセット 餓狼伝説スペシャル 箱・説明書付;https://jp.mercari.com/item/m99716827987;¥29,800;SOLD_OUT;2026-05-30 11:17 UTC;SNKのネオジオ用ソフト『餓狼伝説スペシャル（GAROU DENSETSU SPECIAL）』のROMカセット版です。 ​実機にて起動・動作確認済みです（写真参照）。 格闘ゲームの歴史に残る名作を、当時の純正ハードで楽しみたい方やコレクターの方にお譲りいたします。 ​【セット内容】 ​ゲームカセット本体 ​専用ケース ​取扱説明書 ​【商品の状態】 ​動作： ネオジオ本体にてタイトル画面までの起動を確認済みです。 ​カセット： 端子部分は清掃済み。抜き差しに伴うスレはありますが、ラベル剥がれ等はなく比較的良好です。 ​ケース： 年代物につき、外ビニールに多少のシワや経年劣化が見られます。割れな
【中古】攻略本NEOGEO リアルバウト餓狼伝説スペシャル グラフィカルマニュアル;https://jp.mercari.com/item/vwuu5KqRkMtWoZpt2e6jsE;¥1,500;SOLD_OUT;2025-06-16 04:20 UTC;
