Titre;URL;Prix;Statut;Created;Description
（ポスター付き）月刊ネオジオフリーク 1998年5月号ダメージアリ;https://jp.mercari.com/item/m93752588497;¥3,200;ON_SALE;2026-04-27 21:58 UTC;
リアルバウト餓狼伝説 アクリルスタンド ブルーマリー ビリーカーン 山崎竜二;https://jp.mercari.com/item/m74025684127;¥5,400;ON_SALE;2025-12-21 09:01 UTC;
B2ポスターセット K' ネームレス KOF2002 EVOJAPAN2026;https://jp.mercari.com/item/m79834034189;¥5,888;ON_SALE;2026-06-06 00:13 UTC;
SNK アクリルブロック ロック・ハワード 餓狼伝説 EVOJAPAN2026;https://jp.mercari.com/item/m32544108463;¥4,900;ON_SALE;2026-06-09 08:34 UTC;
NEO GEO Real Bout SPECIAL リアルバウト餓狼伝説スペシャル　不知火 舞　ポスター　等身大　非売品;https://jp.mercari.com/item/2JSQTELtTzMUQLfPDSrPaZ;¥22,000;SOLD_OUT;2026-06-10 05:47 UTC;
SNK NEO GEO CDZ 本体　ソフト9種類;https://jp.mercari.com/item/m46933776800;¥70,000;ON_SALE;2026-06-09 12:01 UTC;
NEOGEO リアルバウト餓狼伝説2;https://jp.mercari.com/item/m37640855732;¥75,000;SOLD_OUT;2026-06-09 07:54 UTC;NEOGEO リアルバウト餓狼伝説2 です。  ・外箱あり ・カートリッジあり ・取扱い説明書あり   動作確認済み。 カートリッジ自体にもパッケージにも多少傷があります。説明書は少し折れています。 写真で状態を確認してください。 質問等あれば、必ずご購入前にコメント下さい。  中古品・レトロゲームにご理解のある方のみご購入をお願いいたします。  気泡緩衝材で包み、らくらくメルカリ便で「宅急便」で発送します。  #リアルバウト餓狼伝説2 #neogeo #ネオジオソフト #ネオジオ
【中古】アーケード NEOGEO (MVS)用基板 リアルバウト餓狼伝説2 -THE NEWCOMERS- [基板のみ];https://jp.mercari.com/item/2JSL4V7kUAZvMu8x4EKZEB;¥20,500;SOLD_OUT;2026-06-08 13:01 UTC;
【中古】アーケード NEOGEO (MVS)用基板 リアルバウト餓狼伝説スペシャル [基板のみ];https://jp.mercari.com/item/hqECZ8kCN2noww9caBJTqm;¥10,500;SOLD_OUT;2025-06-16 04:20 UTC;
SNK アクリルブロック ロック・ハワード 餓狼伝説 EVOJAPAN2026;https://jp.mercari.com/item/m30838321035;¥5,900;SOLD_OUT;2026-06-08 11:51 UTC;アクリルスタンド リアルバウト餓狼伝説 餓狼伝説City of the Wolves ビリー・カーン ボックス・スリーパー カイン・R・ハインライン CotW KOF ザ・キング・オブ・ファイターズ THE KING OF FIGHTERS NEOGEO ネオジオ  新品未開封。約10×15×厚さ2cmサイズ プチプチ+封筒発送します。  #まさKOFグッズ
