Titre;URL;Prix;BidCount;Type;EndDate
GB ゲームボーイ 熱闘サムライスピリッツ 斬紅郎無双剣 ソフトのみ 起動確認済;https://page.auctions.yahoo.co.jp/jp/auction/r1232899848;¥2,041;1;Auction;2026-06-11 22:26 +0900
【箱付き】サムライスピリッツ斬紅郎無双剣 ネオジオCD;https://page.auctions.yahoo.co.jp/jp/auction/d1232776013;¥660;1;Auction;2026-06-11 22:15 +0900
中古ロム【サムライスピリッツ 斬紅郎無双剣 / Samurai Shodown III】＊SNK Neo Geo, タイトルシール付！;https://page.auctions.yahoo.co.jp/jp/auction/r1232771037;¥2,700;4;Auction;2026-06-11 21:49 +0900
NEOGEO ネオジオ サムライスピリッツ斬紅郎無双剣 SNK CDソフト 取説付き 1A0004-010ka/F8;https://page.auctions.yahoo.co.jp/jp/auction/x1231523728;¥764;1;Auction;2026-06-11 21:35 +0900
【B】【21007】☆★GB ゲームボーイ ソフト 熱闘 サムライスピリッツ 斬紅郎無双剣 箱・取説無 ソフトのみ 動作未確認 現状品☆★;https://page.auctions.yahoo.co.jp/jp/auction/q1232203991;¥1,600;1;Auction;2026-06-09 19:32 +0900
【初版発行】サムライスピリッツ斬紅郎無双剣アミューズメントアンソロジー・シリーズ２０;https://page.auctions.yahoo.co.jp/jp/auction/f1224108791;¥950;2;Auction;2026-06-09 11:17 +0900
美品中古◆NEOGEO ネオジオ サムライスピリッツ 斬紅郎無双剣 ROMカセット 説明書付 SNK◆F1377;https://page.auctions.yahoo.co.jp/jp/auction/u1232225607;¥29,150;29;Auction;2026-06-07 22:21 +0900
NGCD サムライスピリッツ/真/斬紅郎無双剣/天草降臨 全4作セット☆;https://page.auctions.yahoo.co.jp/jp/auction/1039099970;¥3,500;1;Auction;2026-06-07 22:20 +0900
NEO GEO ゲームカセット　サムライスピリッツ　斬紅郎無双剣　 中古ジャンク品 　4;https://page.auctions.yahoo.co.jp/jp/auction/d1231958063;¥25,000;28;Auction;2026-06-07 22:04 +0900
【ト静】★ NEOGEO ネオジオ SNK サムライスピリッツ 斬紅郎無双剣 ロム カセット ケース付 説明書無 動作未確認 中古現状販 GA000GCG41;https://page.auctions.yahoo.co.jp/jp/auction/e1231852017;¥22,001;29;Auction;2026-06-07 21:42 +0900
※ROMのみ エスエヌケイ/SNK サムライスピリッツ 斬紅郎無双剣 MVS 動作確認済【10;https://page.auctions.yahoo.co.jp/jp/auction/b1232083968;¥8,525;11;Auction;2026-06-07 21:39 +0900
SS　サムライスピリッツ 斬紅郎無双剣(拡張ラムカートリッジ付属)　SNK;https://page.auctions.yahoo.co.jp/jp/auction/v1130805104;¥5,000;1;Buy-Now;2026-06-06 23:45 +0900
★☆ネオジオCDソフト　サムライスピリッツ 斬紅郎無双剣 　箱・説付　盤面良好☆★;https://page.auctions.yahoo.co.jp/jp/auction/1230059170;¥1,480;1;Auction;2026-06-05 22:29 +0900
中古ロム【サムライスピリッツ 斬紅郎無双剣 / Samurai Shodown III】＊SNK Neo Geo, タイトルシール付！;https://page.auctions.yahoo.co.jp/jp/auction/p1231991301;¥5,500;22;Auction;2026-06-04 21:31 +0900
GB ゲームボーイ 熱闘サムライスピリッツ 斬紅郎無双剣 ソフト 箱説付 動作確認済;https://page.auctions.yahoo.co.jp/jp/auction/r1229301842;¥6,876;2;Auction;2026-06-04 21:30 +0900
サムライスピリッツ斬紅郎無双剣　純正インスト+取扱説明書+帯2本+プラバン　MVS　NEOGEO　S633;https://page.auctions.yahoo.co.jp/jp/auction/h1231244509;¥4,000;1;Auction;2026-06-03 23:47 +0900
1円〜 B1 サイズ サムライスピリッツ 斬紅郎無双剣 SNK NEOGEO ネオジオ ポスター 非売品 販促用 販売 店舗 ゲーム 希少 当時物;https://page.auctions.yahoo.co.jp/jp/auction/j1231532662;¥3,066;12;Auction;2026-06-03 21:55 +0900
動作保証品 SS セガサターン サムライスピリッツ 斬紅郎無双剣 箱説/拡張RAMカートリッジ付【10;https://page.auctions.yahoo.co.jp/jp/auction/x1231639910;¥1,760;5;Auction;2026-06-03 21:46 +0900
MVS　サムライスピリッツ斬紅郎無双剣　NEOGEO　ROM　動作確認済み;https://page.auctions.yahoo.co.jp/jp/auction/h1124032495;¥9,800;1;Auction;2026-06-02 10:10 +0900
GB 熱闘 サムライスピリッツ 斬紅郎無双剣 ゲームボーイソフト;https://page.auctions.yahoo.co.jp/jp/auction/z619707306;¥1,600;1;Buy-Now;2026-06-02 10:03 +0900
インスト 説明書 プラ板 帯 エスエヌケイ/SNK サムライスピリッツ 斬紅郎無双剣 MVS【PP;https://page.auctions.yahoo.co.jp/jp/auction/x1231393773;¥1,624;4;Auction;2026-06-01 21:52 +0900
【動作確認済み】　サムライスピリッツ　斬紅郎無双剣　SNK　ネオジオ　ゲーム　ソフト　帯付き　★Ｗ1a2605;https://page.auctions.yahoo.co.jp/jp/auction/o1230465255;¥1,700;1;Auction;2026-06-01 21:08 +0900
ネオジオ ロムカセット サムライスピリッツ 斬紅郎無双剣 NEO GEO ROM ;https://page.auctions.yahoo.co.jp/jp/auction/z614834298;¥33,800;1;Buy-Now;2026-06-01 18:13 +0900
サムライスピリッツ 斬紅郎無双剣 SAMURAI SHODOWN 3 ネオジオ AES ★ NEOGEO AES ROM (箱説なし) ;https://page.auctions.yahoo.co.jp/jp/auction/h1231523880;¥14,980;1;Buy-Now;2026-06-01 12:53 +0900
