Titre;URL;Prix;Statut;Created;Description
ネオジオROMソフト ワールドヒーローズ2 ADK SNK;https://jp.mercari.com/item/m43830030874;¥11,500;ON_SALE;2026-05-31 15:42 UTC
【動作確認済】ワールドヒーローズ2JET ネオジオ ROMカセット NEOGEO;https://jp.mercari.com/item/m77738919655;¥22,000;SOLD_OUT;2026-05-31 05:28 UTC;SNK ネオジオ（NEOGEO）用ROMカセット『ワールドヒーローズ2JET（WORLD HEROES 2JET）』の出品です。    【商品内容】  ROMカセット、ケース、説明書あり    【状態】  経年劣化による擦れや傷があります。  ケースに長期保管時に物を重ねて置いていたうっすらとした跡がみられます。  状態の詳細はトラブル防止のため写真にてしっかりとご確認をお願いいたします。    【動作確認】  実機にて動作確認済みです。  ただし、30年以上前のレトロゲームであるため、ご購入者様の本体環境（機器の相性、端子の汚れ、本体のメンテナンス状態など）によっては起動しにくい・認識しづら
【動作確認済】ワールドヒーローズ2 ネオジオ ROMカセット NEOGEO;https://jp.mercari.com/item/m91386181283;¥22,000;SOLD_OUT;2026-05-31 05:27 UTC;SNK ネオジオ（NEOGEO）用ROMカセット『ワールドヒーローズ2（WORLD HEROES 2）』の出品です。    【商品内容】  ROMカセット、ケース、説明書、ゲームプレイ時のご注意の紙あり    【状態】  経年劣化による擦れや傷があります。  パッケージのビニール部分が小さな波をうっている箇所があります(画像11枚目)  ケースに封をしていたシールを剥がした跡があります(画像10枚目)  状態の詳細はトラブル防止のため写真にてしっかりとご確認をお願いいたします。    【動作確認】  実機にて動作確認済みです。  ただし、30年以上前のレトロゲームであるため、ご購入者様の本体環
ワールドヒーローズ2 ネオジオ;https://jp.mercari.com/item/m66362321641;¥16,999;SOLD_OUT;2026-05-24 00:02 UTC;「ワールドヒーローズ2」 定価: -  #ゲーム #アクション #ネオジオ #Other  パッケージや説明書の状態がイマイチです。 写真をよくご覧になって下さい。
【ネオジオROM】ワールドヒーローズ2 箱説あり 動作未確認;https://jp.mercari.com/item/m72852580073;¥15,980;SOLD_OUT;2026-05-30 20:53 UTC;​■ 商品の説明 ご覧いただきありがとうございます。 NEOGEO（ネオジオ）ROMカセット版「ワールドヒーローズ2」です。 ​コレクション整理のため出品いたします。 ​【付属品】 ・専用ケース ・ROMカセット本体 ・取扱説明書 ※ハガキなどのその他付属品はございません。画像に写っているものが全てとなります。 ​【商品状態】 ・現在ネオジオ本体の起動環境がないため、動作未確認となります。 ・【重要：説明書のダメージについて】 経年劣化により、取扱説明書の「表紙および裏表紙」がホチキス留め部分から外れ、中身のページと完全に分離してしまっている状態です。（必ず画像にてご確認ください） ・専用ケー
【動作確認済】NEO-GEO ネオジオ ロムカセット ワールドヒーローズ2;https://jp.mercari.com/item/m73400328671;¥16,000;SOLD_OUT;2026-05-30 11:18 UTC;SNK ネオジオ（AES）用ソフト『ワールドヒーローズ2（WORLD HEROES 2）』の出品です。 ​【商品内容】 ​ゲームソフト本体（ロムカセット） ​専用ケース ​取扱説明書 ​【商品状態】 ​動作確認： 実機にてタイトル画面までの起動を確認済みです（画像参照）。 ​カセット： 端子部分は清掃済み。抜き差しに伴うスレはありますが、大きな傷はありません。 ​ケース： 年代物としては目立った割れや大きな破れもなく、良好な状態です。 ​説明書： 多少の使用感はありますが、ページ欠けや大きな書き込みは見当たりません。 ​【発送方法】 精密機器ですので、プチプチ等の緩衝材で丁寧に梱包し、らくらく
SNK ネオジオROM ワールドヒーローズ2;https://jp.mercari.com/item/m98365923081;¥19,300;SOLD_OUT;2026-05-21 10:39 UTC;対戦格闘ゲームの名作、ワールドヒーローズ2のNEOGEOカートリッジになります。  - タイトル: ワールドヒーローズ2 - ブランド: ADK - プラットフォーム: NEOGEO - ジャンル: 対戦格闘 - メディアタイプ: カートリッジ - メモリ容量: 146メガ -付属品:ケース、説明書 -動作確認:完了済  自宅にて長期保管していた為、パッケージに多少のダメージがございます。 自宅保管の中古品ということを、ご了承いただければと思います。 神経質な方はご遠慮下さいませ。  ※ 値段によっては値下げは可能ですので、お気軽にコメント頂ければ幸いです。
ワールドヒーローズ2/SNK・ADK;https://jp.mercari.com/item/m20761023653;¥1,300;ON_SALE;2026-05-30 06:20 UTC;
PS2 WORLD HEROES GORGEOUS & ADK魂 2本セット;https://jp.mercari.com/item/m11433745113;¥15,000;SOLD_OUT;2026-05-27 16:01 UTC;SNKプレイモアから発売された、NEOGEOの名作格闘ゲームを収録したPlayStation 2用ソフト2本セットです。  - 対応機種: PlayStation 2 - 収録タイトル1: WORLD HEROES GORGEOUS - 収録タイトル2: ADK魂 - CEROレーティング: B - メディア形式: DVD-ROM  素人保管ですので完璧な物をお求めの方はご遠慮下さい すり替え防止のため返品返金は出来ませんのでよろしくお願いします  ご覧いただきありがとうございます。 #PS2 #ADK
ネオジオ格闘ゲーム ポスター 6枚セット;https://jp.mercari.com/item/m15429584177;¥9,800;ON_SALE;2026-03-15 06:18 UTC;
ゲーム必勝ガイド 1994年5月号 バーチャファイター特集;https://jp.mercari.com/item/m28828757398;¥1,600;ON_SALE;2026-05-28 10:30 UTC;
【中古】ネオジオCDソフト ワールドヒーローズ2(CD-ROM);https://jp.mercari.com/item/nWdB5ANWqxHWGPG7QfALk3;¥8,122;ON_SALE;2025-06-16 04:16 UTC;
ネオジオCD用ソフト『ワールドヒーローズ2JET』;https://jp.mercari.com/item/m81234649689;¥2,000;ON_SALE;2026-05-26 08:36 UTC;
【新品】 アケアカNEOGEO セレクション Vol.9 Nintendo Switch 佐賀;https://jp.mercari.com/item/2JJWKVyZ9Zp8okH4uo43pu;¥5,940;ON_SALE;2025-12-18 09:22 UTC;
【中古】SNK ワールドヒーローズ2JET ネオジオROMソフト【動作未確認】【傷みあり】[10];https://jp.mercari.com/item/2JRdyo2tEVzhr9LSSLQpcd;¥33,428;ON_SALE;2026-05-24 10:55 UTC;
【中古】ネオジオCDソフト ワールドヒーローズ2JET(CD-ROM);https://jp.mercari.com/item/MCEDVoPWWT9hJMhhKKxtpC;¥2,071;ON_SALE;2025-05-26 06:03 UTC;
NEOGEO WORLD HEROES 2 JET ソフト 本体;https://jp.mercari.com/item/m11044121228;¥14,000;SOLD_OUT;2026-05-22 10:50 UTC;178メガビットの大容量を誇る、ADK開発の対戦格闘ゲームです。  - タイトル: WORLD HEROES 2 JET - プラットフォーム: NEOGEO - 開発元: ADK - 容量: 178メガ - 付属品: 取扱説明書  ご覧いただきありがとうございます。 こちら、目立ったキズや汚れ等無いものの、環境が整って無いため、再生はしておりません。負荷を掛けたりする事はありませんでした。
ネオジオ NEO GEO ワールドヒーローズ2 年代物 広告 雑誌 切り抜き;https://jp.mercari.com/item/m87379794616;¥899;ON_SALE;2026-05-22 09:24 UTC;
ワールドヒーローズ2 ネオジオ　ロムカセット　ソフト　snk 希少品　希少ソフト;https://jp.mercari.com/item/m58176179777;¥28,900;SOLD_OUT;2026-05-03 07:21 UTC;「ワールドヒーローズ2」 定価: - Worldheros2 Neogeo aes + アーケードスティック　アケコン レトロゲーム #ゲーム #アクション #ネオジオ #Other
ネオジオROMカセット ワールドヒーローズ2JET;https://jp.mercari.com/item/m42128529864;¥25,800;SOLD_OUT;2026-05-21 20:09 UTC;中古品になります 動作確認済みです。 経年による状態の細かな痛み等はありますが主観的には良いと思います。 全体を極度に気にする方はお控え願います。  対戦型格闘ゲームの名作。  - ジャンル: 対戦型格闘ゲーム - プラットフォーム: NEO GEO - 発売年: 1994年 - メディア: 178メガ - メーカー: ADK  ご覧いただきありがとうございます。
ネオジオゲーム ムック3冊セット;https://jp.mercari.com/item/m66084847527;¥4,500;ON_SALE;2026-05-21 11:05 UTC;
