english_title,japanese_title,producer,serial,date,category
Super Mario World,スーパーマリオワールド,任天堂 / Nintendo,SHVC-MW / SNS-MW-USA,1990-11-21 / 1991-08-13,Action / Platformer
F-Zero,エフゼロ,任天堂 / Nintendo,SHVC-FZ / SNS-FZ,1990-11-21 / 1991-08-13,Sports / Racing (競馬)
Bombuzal,ボンバザル,ケムコ / （コトブキシステム） / Kemco / Mirror Soft,SHVC-BB,1990-12-01,Puzzle
Populous,ポピュラス,イマジニア / インフィニティー / エレクトロニック・アーツ / Imagineer / Infinity / Bullfrog / Electronic Arts,SHVC-PO / SNS-PO,1990-12-16 / 1991-01-01,Strategy
ActRaiser,アクトレイザー,エニックス / クインテット / Enix / Quintet,SHVC-AR / SNS-AR-USA,1990-12-16 / 1991-11-01,Action / RPG
Pilotwings,パイロットウイングス,任天堂 / Nintendo,SHVC-PW / SNS-PW,1990-12-21 / 1991-08-13,Simulation / Flight
Gradius III,グラディウスIII,コナミ / Konami,SHVC-G3 / SNS-G3,1990-12-21 / 1991-08-01,Shooter / Horizontal
Final Fight,ファイナルファイト,カプコン / Capcom,SHVC-FT / SNS-FT,1990-12-21 / 1991-11-10,Action / Beat 'em Up
SD The Great Battle - Aratanaru Chousen,SD ザ・グレイトバトル 新たなる挑戦,バンプレスト / Banpresto,SHVC-BS,1990-12-29,Action
Jumbo Ozaki no Hole In One,ジャンボ尾崎のホールインワン,ハル研究所（HALKEN） / HAL Laboratory,SHVC-JO,1991-02-23,Sports / Golf
Big Run - The Supreme 4WD Challenge,ビッグラン,ジャレコ / Jaleco,SHVC-BR,1991-03-20,Sports / Off Road Racing (競馬)
Darius Twin,ダライアスツイン,タイトー / Taito,SHVC-DT / SNS-DT,1991-03-29 / 1991-01-01,Shooter / Horizontal
Harukanaru Augusta,遥かなるオーガスタ,ティーアンドイーソフト / T&E Soft,SHVC-GA,1991-04-05,Sports / Golf
Ultraman,ウルトラマン,バンダイ / Bandai,SHVC-UM,1991-04-06,Action
